Protein	Protein ID	Entry Name	Gene	Description	Protein Length	Organism	Protein Existence	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Indistinguishable Proteins	C_41079 Intensity	C_41079 MaxLFQ Intensity	C_41079 Spectral Count	C_41079 Unique Spectral Count	C_41079 Total Spectral Count
A0A068TWQ2	A0A068TWQ2	A0A068TWQ2_COFCA	GSCOC_T00032315001	Eukaryotic translation initiation factor 5A	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		2180000.0	2180000.0	1	1	1
A0A068TWQ2;A0A068UPM0	A0A068TWQ2;A0A068UPM0	A0A068TWQ2_COFCA;A0A068UPM0_COFCA	GSCOC_T00030887001;GSCOC_T00032315001	Eukaryotic translation initiation factor 5A	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		547317.0	547317.0	1	1	1
A0A068TX69;A0A068V172;A0A068V999	A0A068TX69;A0A068V172;A0A068V999	A0A068TX69_COFCA;A0A068V172_COFCA;A0A068V999_COFCA	GSCOC_T00018516001;GSCOC_T00034335001;GSCOC_T00040607001	Small ribosomal subunit protein uS7 domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		111242.0	111242.0	1	1	1
A0A068TXC1	A0A068TXC1	A0A068TXC1_COFCA	GSCOC_T00034422001	Phosphoglycerate mutase-like protein 1	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		145900.0	145900.0	1	1	1
A0A068TXH8	A0A068TXH8	A0A068TXH8_COFCA	GSCOC_T00032623001	Large ribosomal subunit protein uL15/eL18 domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		714469.0	714469.0	1	1	1
A0A068TXJ0	A0A068TXJ0	A0A068TXJ0_COFCA	GSCOC_T00029858001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068TXJ0;A0A068UKG5	A0A068TXJ0;A0A068UKG5	A0A068TXJ0_COFCA;A0A068UKG5_COFCA	GSCOC_T00028216001;GSCOC_T00029858001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068TXJ0;A0A068UKG5;A0A068UKG2	A0A068TXJ0;A0A068UKG5;A0A068UKG2	A0A068TXJ0_COFCA;A0A068UKG2_COFCA;A0A068UKG5_COFCA	GSCOC_T00028209001;GSCOC_T00028216001;GSCOC_T00029858001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		153539.0	153539.0	1	1	1
A0A068TXJ0;A0A068UKG5;A0A068UKG2;A0A068TVU9	A0A068TXJ0;A0A068UKG5;A0A068UKG2;A0A068TVU9	A0A068TVU9_COFCA;A0A068TXJ0_COFCA;A0A068UKG2_COFCA;A0A068UKG5_COFCA	GSCOC_T00028209001;GSCOC_T00028216001;GSCOC_T00029858001;GSCOC_T00029868001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		783572.0	783572.0	1	1	1
A0A068TXJ0;A0A068UKG5;A0A068UKG2;A0A068U8Z8	A0A068TXJ0;A0A068UKG5;A0A068UKG2;A0A068U8Z8	A0A068TXJ0_COFCA;A0A068U8Z8_COFCA;A0A068UKG2_COFCA;A0A068UKG5_COFCA	GSCOC_T00019945001;GSCOC_T00028209001;GSCOC_T00028216001;GSCOC_T00029858001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		2109010.0	2109010.0	1	1	1
A0A068TXJ8	A0A068TXJ8	A0A068TXJ8_COFCA	GSCOC_T00032828001	nicotinate-nucleotide diphosphorylase (carboxylating)	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		55518.0	55518.0	1	1	1
A0A068TXK9	A0A068TXK9	A0A068TXK9_COFCA	GSCOC_T00029878001	Actin	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068TXM4	A0A068TXM4	A0A068TXM4_COFCA	GSCOC_T00032885001	Bet v I/Major latex protein domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		75130.4	75130.4	1	1	1
A0A068TXV8;A0A068UBQ0;A0A068VBM4	A0A068TXV8;A0A068UBQ0;A0A068VBM4	A0A068TXV8_COFCA;A0A068UBQ0_COFCA;A0A068VBM4_COFCA	GSCOC_T00004995001;GSCOC_T00020755001;GSCOC_T00032800001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068TXW8	A0A068TXW8	A0A068TXW8_COFCA	GSCOC_T00032819001	Plastocyanin-like domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		202443.0	202443.0	1	1	1
A0A068TXW8;A0A068TQZ6	A0A068TXW8;A0A068TQZ6	A0A068TQZ6_COFCA;A0A068TXW8_COFCA	GSCOC_T00022445001;GSCOC_T00032819001	Plastocyanin-like domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		400311.0	400311.0	1	1	1
A0A068TY01	A0A068TY01	A0A068TY01_COFCA	GSCOC_T00032887001	Bet v I/Major latex protein domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		1236070.0	1236070.0	1	1	1
A0A068TY12	A0A068TY12	A0A068TY12_COFCA	GSCOC_T00032908001	phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		897496.0	897496.0	1	1	1
A0A068TY12;A0A068V6X8	A0A068TY12;A0A068V6X8	A0A068TY12_COFCA;A0A068V6X8_COFCA	GSCOC_T00018063001;GSCOC_T00032908001	phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		110075.0	110075.0	1	1	1
A0A068TYG8	A0A068TYG8	A0A068TYG8_COFCA	GSCOC_T00034451001	Tubulin alpha chain	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		11044700.0	11044700.0	1	1	1
A0A068TYV2	A0A068TYV2	A0A068TYV2_COFCA	GSCOC_T00036503001	Asparagine synthetase [glutamine-hydrolyzing]	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		29760.0	29760.0	1	1	1
A0A068TYV2;A0A068TPQ8;A0A068UL30	A0A068TYV2;A0A068TPQ8;A0A068UL30	A0A068TPQ8_COFCA;A0A068TYV2_COFCA;A0A068UL30_COFCA	GSCOC_T00022213001;GSCOC_T00028440001;GSCOC_T00036503001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		391527.0	391527.0	1	1	1
A0A068TYV4	A0A068TYV4	A0A068TYV4_COFCA	GSCOC_T00034619001	Thylakoid lumenal 29 kDa protein, chloroplastic	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		778551.0	778551.0	1	1	1
A0A068TYX8;A0A068USU6	A0A068TYX8;A0A068USU6	A0A068TYX8_COFCA;A0A068USU6_COFCA	GSCOC_T00024694001;GSCOC_T00025071001	Histone H3	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		30901900.0	30901900.0	1	1	1
A0A068TZ12	A0A068TZ12	A0A068TZ12_COFCA	GSCOC_T00036581001	14-3-3 domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		419111.0	419111.0	1	1	1
A0A068TZ47	A0A068TZ47	A0A068TZ47_COFCA	PFK	ATP-dependent 6-phosphofructokinase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		780244.0	780244.0	1	1	1
A0A068TZ52	A0A068TZ52	A0A068TZ52_COFCA	GSCOC_T00036633001	Cyanobacterial aminoacyl-tRNA synthetase CAAD domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		12794.9	12794.9	1	1	1
