Protein.Group	Protein.Names	Genes	First.Protein.Description	20260211_008_C41079_S1100213_Beads2_Group_2.mzML	20260211_007_C41079_S1100211_NosH3_Group_1.mzML	20260211_005_C41079_S1100214_Beads3_Group_2.mzML	20260211_004_C41079_S1100210_NosH2_Group_1.mzML	20260211_003_C41079_S1100209_NosH1_Group_1.mzML	20260211_002_C41079_S1100212_Beads1_Group_2.mzML
A0A068TR05	A0A068TR05_COFCA	GSCOC_T00021698001	Proteasome subunit alpha type	156524		261093	36280.4	119311	116143
A0A068TR24	A0A068TR24_COFCA	GSCOC_T00025650001	Galactokinase N-terminal domain-containing protein	47866.1	44066.2	35975.2	42829.2	42232.5	61886.8
A0A068TR97	A0A068TR97_COFCA	GSCOC_T00021832001	Uncharacterized protein	56025.1		82216.7			34081.6
A0A068TRC3	A0A068TRC3_COFCA	GSCOC_T00025805001	TCTP domain-containing protein	619609			68381.7	57472.9	
A0A068TRC3;A0A068V9P5	A0A068TRC3_COFCA;A0A068V9P5_COFCA	GSCOC_T00000655001;GSCOC_T00025805001	TCTP domain-containing protein	398878	2.07432e+06	362671	1.98127e+06	2.041e+06	391082
A0A068TRG8	A0A068TRG8_COFCA	GSCOC_T00025870001	CASP-like protein	19392.6	22219.2		27564.8	27080.1	15222.3
A0A068TRR7;A0A068UMJ8	A0A068TRR7_COFCA;A0A068UMJ8_COFCA	GSCOC_T00022802001;GSCOC_T00030078001	EF-hand domain-containing protein	242841	539199	414641	943489	451757	466306
A0A068TRU3	A0A068TRU3_COFCA	GSCOC_T00025975001	Dienelactone hydrolase domain-containing protein	298126	2.25615e+06	306706	2.44051e+06	2.0899e+06	323751
A0A068TRX2;A0A068U503;A0A068U5X3;A0A068U7I1;A0A068U7Z2;A0A068UBG6;A0A068V591	A0A068TRX2_COFCA;A0A068U503_COFCA;A0A068U5X3_COFCA;A0A068U7I1_COFCA;A0A068U7Z2_COFCA;A0A068UBG6_COFCA;A0A068V591_COFCA	GSCOC_T00015982001;GSCOC_T00015983001;GSCOC_T00016130001;GSCOC_T00016696001;GSCOC_T00021102001;GSCOC_T00022094001;GSCOC_T00041970001	Histone H2A	4.01404e+06	4.86197e+06	3.68907e+06	3.69135e+06	6.43733e+06	2.59596e+06
A0A068TRX2;A0A068U503;A0A068U7Z2	A0A068TRX2_COFCA;A0A068U503_COFCA;A0A068U7Z2_COFCA	GSCOC_T00016130001;GSCOC_T00022094001;GSCOC_T00041970001	Histone H2A	989387	1.23188e+06	1.03024e+06	1.14953e+06	2.32011e+06	4.0567e+06
A0A068TRZ8	A0A068TRZ8_COFCA	GSCOC_T00022121001	Uncharacterized protein	235341	215394	185064	236778	193344	229652
A0A068TS20	A0A068TS20_COFCA	GSCOC_T00025624001	Dihydrolipoyl dehydrogenase	1.4804e+06	1.35536e+06	1.38473e+06	1.28668e+06	1.21198e+06	1.544e+06
