Protein.Group	Protein.Names	Genes	First.Protein.Description	20260211_008_C41079_S1100213_Beads2_Group_2.mzML	20260211_007_C41079_S1100211_NosH3_Group_1.mzML	20260211_005_C41079_S1100214_Beads3_Group_2.mzML	20260211_004_C41079_S1100210_NosH2_Group_1.mzML	20260211_003_C41079_S1100209_NosH1_Group_1.mzML	20260211_002_C41079_S1100212_Beads1_Group_2.mzML
A0A068UUF8	A0A068UUF8_COFCA	GSCOC_T00035185001	Uncharacterized protein	67146.4	97260.5	42760.2	108268	101244	57557.4
A0A068UUM2	A0A068UUM2_COFCA	GSCOC_T00035357001	PsbP C-terminal domain-containing protein	66528.3		41469.3			83514.6
A0A068UUT9	A0A068UUT9_COFCA	GSCOC_T00035568001	UDP-glucose 4-epimerase	610362	596948	575531	591400	562762	521953
A0A068UVA1	A0A068UVA1_COFCA	GSCOC_T00033883001	Alpha-carbonic anhydrase domain-containing protein	119031		104331	186351	123633	104827
A0A068UVC6	A0A068UVC6_COFCA	GSCOC_T00035663001	Purple acid phosphatase	82709.2	138748	67029	64673.5	76567.6	94171.6
A0A068UVN7	A0A068UVN7_COFCA	GSCOC_T00035856001	Aldose 1-epimerase	5342.76	73990				
A0A068UVT3	A0A068UVT3_COFCA	GSCOC_T00034145001	Protein kinase domain-containing protein			1.26209e+06	1.11499e+06	213729	357612
A0A068UW83	A0A068UW83_COFCA	GSCOC_T00037436001	Actin 7	61748.2	286267		305717	220043	39587.6
A0A068UW83;A0A068USH6;A0A068TXK9;A0A068TML6;A0A068UEK0	A0A068TML6_COFCA;A0A068TXK9_COFCA;A0A068UEK0_COFCA;A0A068USH6_COFCA;A0A068UW83_COFCA	GSCOC_T00014855001;GSCOC_T00023529001;GSCOC_T00029878001;GSCOC_T00033615001;GSCOC_T00037436001	Actin	373033	1.58719e+06	341503	1.91251e+06	1.68509e+06	434794
A0A068UW83;A0A068USH6;A0A068TXK9;A0A068UEK0	A0A068TXK9_COFCA;A0A068UEK0_COFCA;A0A068USH6_COFCA;A0A068UW83_COFCA	GSCOC_T00023529001;GSCOC_T00029878001;GSCOC_T00033615001;GSCOC_T00037436001	Actin	328231	1.00274e+06	565638	1.07824e+06	899174	585454
A0A068UWW5	A0A068UWW5_COFCA	GSCOC_T00037792001	RRM domain-containing protein	20581.6	116877	19779.1	116187	113569	23351.4
A0A068UX16	A0A068UX16_COFCA	GSCOC_T00035564001	Nucleoside diphosphate kinase	1.65731e+06	1.13121e+06	1.55075e+06	1.14132e+06	1.14401e+06	1.81861e+06
A0A068UXA6;A0A068UXZ7;A0A068V897;A0A068V8F5;A0A068VF29;A0A068VF67;A0A068VFD8;A0A068VGB0;A0A068VH67;A0A068VIQ0;A0A068VIT1;A0A068VIV9;A0A068VIW7;A0A068VIY6;A0A068VJ37;A0A068VJ88;A0A068VJP9;A0A068VK08;A0A068VKQ8;A0A068VKX0;A0A068VKY6;A0A068VL15;A0A068VL87;A0A068VLZ5;A0A068VMB2;A0A068VMI1;A0A068VN91;A0A068VPJ0	A0A068UXA6_COFCA;A0A068UXZ7_COFCA;A0A068V897_COFCA;A0A068V8F5_COFCA;A0A068VF29_COFCA;A0A068VF67_COFCA;A0A068VFD8_COFCA;A0A068VGB0_COFCA;A0A068VH67_COFCA;A0A068VIQ0_COFCA;A0A068VIT1_COFCA;A0A068VIV9_COFCA;A0A068VIW7_COFCA;A0A068VIY6_COFCA;A0A068VJ37_COFCA;A0A068VJ88_COFCA;A0A068VJP9_COFCA;A0A068VK08_COFCA;A0A068VKQ8_COFCA;A0A068VKX0_COFCA;A0A068VKY6_COFCA;A0A068VL15_COFCA;A0A068VL87_COFCA;A0A068VLZ5_COFCA;A0A068VMB2_COFCA;A0A068VMI1_COFCA;A0A068VN91_COFCA;A0A068VPJ0_COFCA	GSCOC_T00000023001;GSCOC_T00001164001;GSCOC_T00001938001;GSCOC_T00001961001;GSCOC_T00002627001;GSCOC_T00003819001;GSCOC_T00003845001;GSCOC_T00005335001;GSCOC_T00007011001;GSCOC_T00007872001;GSCOC_T00007982001;GSCOC_T00008045001;GSCOC_T00008227001;GSCOC_T00008867001;GSCOC_T00009260001;GSCOC_T00009397001;GSCOC_T00009818001;GSCOC_T00010344001;GSCOC_T00011855001;GSCOC_T00012265001;GSCOC_T00012894001;GSCOC_T00013508001;GSCOC_T00013510001;GSCOC_T00013763001;GSCOC_T00019250001;GSCOC_T00019254001;GSCOC_T00038007001;GSCOC_T00038009001	NB-ARC domain-containing protein	1.50993e+06	299984	4.85424e+06	2.46378e+06	746394	3.61615e+06
A0A068UXI2;A0A068V849	A0A068UXI2_COFCA;A0A068V849_COFCA	GSCOC_T00017137001;GSCOC_T00035822001	40S ribosomal protein S14	119837	213180	126018	81733.6	112640	105876
A0A068UXN8	A0A068UXN8_COFCA	GSCOC_T00037762001	Abscisic acid receptor PYR1-like	367699	305951	347763	286613	262089	476084
A0A068UXP7	A0A068UXP7_COFCA	GSCOC_T00038191001	Glyceraldehyde-3-phosphate dehydrogenase	4.26306e+06	5.74908e+06	2.9011e+06	6.39261e+06	4.76722e+06	3.77661e+06
A0A068UXP7;A0A068V0Y8	A0A068UXP7_COFCA;A0A068V0Y8_COFCA	GSCOC_T00038191001;GSCOC_T00038554001	Glyceraldehyde-3-phosphate dehydrogenase	3.93195e+06	3.16302e+06	5.81916e+06	1.98618e+06	1.14064e+06	6.7808e+06
A0A068UXP7;A0A068V9M9	A0A068UXP7_COFCA;A0A068V9M9_COFCA	GSCOC_T00019117001;GSCOC_T00038191001	Glyceraldehyde-3-phosphate dehydrogenase	1.92723e+06	2.62096e+06	1.87349e+06	2.49535e+06	2.07608e+06	2.1501e+06
A0A068UXP7;A0A068V9M9;A0A068V0Y8	A0A068UXP7_COFCA;A0A068V0Y8_COFCA;A0A068V9M9_COFCA	GSCOC_T00019117001;GSCOC_T00038191001;GSCOC_T00038554001	Glyceraldehyde-3-phosphate dehydrogenase	2.47098e+06	3.94411e+06	2.11748e+06	4.00551e+06	3.35779e+06	2.57101e+06
A0A068UZ08	A0A068UZ08_COFCA	GSCOC_T00038442001	DUF1677 domain-containing protein		3.87424e+06		3.63961e+06	4.4625e+06	
A0A068UZ69	A0A068UZ69_COFCA	GSCOC_T00038536001	Protein MEMO1	24087		68867.9		19446	68978.9
A0A068UZ72	A0A068UZ72_COFCA	GSCOC_T00038606001	Porphobilinogen deaminase, chloroplastic	303936	210054	236281	255060	175169	284299
A0A068UZ89	A0A068UZ89_COFCA	GSCOC_T00038623001	Uncharacterized protein		1.39532e+06		1.5496e+06	1.45421e+06	
A0A068UZ98	A0A068UZ98_COFCA	GSCOC_T00038571001	Phosphoglycerate kinase				639833	174970	
A0A068UZB5	A0A068UZB5_COFCA	GSCOC_T00037711001	Glycine cleavage system H protein	1.01047e+06	2.78926e+06	947766	3.46688e+06	2.06736e+06	1.27438e+06
A0A068UZE8	A0A068UZE8_COFCA	GSCOC_T00039055001	Superoxide dismutase	243668	663054	227591	901689	890330	243928
A0A068UZX7	A0A068UZX7_COFCA	GSCOC_T00038853001	Uncharacterized protein	542626	394722	548280	443491	402278	773488
A0A068UZX8	A0A068UZX8_COFCA	GSCOC_T00038984001	superoxide dismutase		87505.5		239615	20114.4	
A0A068V038	A0A068V038_COFCA	GSCOC_T00039009001	hydroxyacylglutathione hydrolase	85705.9	152705	130096	86861.9	144708	173174
A0A068V061	A0A068V061_COFCA	GSCOC_T00040414001	S-formylglutathione hydrolase	20320.2	130132	18360.7	105717	98074.2	23631.2
A0A068V110	A0A068V110_COFCA	GSCOC_T00040486001	Pyrroline-5-carboxylate reductase	1.11362e+06		1.03005e+06			1.22272e+06
A0A068V1B5;A0A068V3J7;A0A068UAS9	A0A068UAS9_COFCA;A0A068V1B5_COFCA;A0A068V3J7_COFCA	GSCOC_T00020836001;GSCOC_T00038693001;GSCOC_T00043076001	Fructose-bisphosphate aldolase	671241	2.25635e+06	556854	2.50223e+06	2.02339e+06	551832
A0A068V1C0	A0A068V1C0_COFCA	GSCOC_T00040594001	Photosystem II 5 kDa protein, chloroplastic		260665	68670.6	401702	437001	
A0A068V1D5	A0A068V1D5_COFCA	GSCOC_T00040636001	DUF2470 domain-containing protein	7.02723e+06	5.19534e+06	6.51152e+06	5.42692e+06	4.87832e+06	9.37564e+06
A0A068V1G3	A0A068V1G3_COFCA	GSCOC_T00041011001	N-acyl-aliphatic-L-amino acid amidohydrolase	346619	121140	277184	126841	134402	349559
A0A068V2D4	A0A068V2D4_COFCA	GSCOC_T00042068001	Extensin domain-containing protein	292307	261933	236744	224798	328915	300028
A0A068V2R5	A0A068V2R5_COFCA	GSCOC_T00042648001	Peptide methionine sulfoxide reductase		13167		78319	58961.8	
A0A068V3A2	A0A068V3A2_COFCA	GSCOC_T00042706001	C2H2-type domain-containing protein	431833	380778	446774	410220	298330	473382
A0A068V3B6	A0A068V3B6_COFCA	GSCOC_T00042718001	40S ribosomal protein S8	626737	106451		119050	110082	109030
A0A068V3B6;A0A068U5Z7	A0A068U5Z7_COFCA;A0A068V3B6_COFCA	GSCOC_T00016447001;GSCOC_T00042718001	40S ribosomal protein S8	12065.1	17424.5	16243.6	21062.9	14298.9	18367
A0A068V3F1	A0A068V3F1_COFCA	GSCOC_T00042570001	Nucleoside diphosphate kinase	238006	362896	242124	330063	278896	229079
A0A068V3I9	A0A068V3I9_COFCA	GSCOC_T00042781001	Peptidase A1 domain-containing protein		126323		137117	108626	
A0A068V3I9;A0A068U894	A0A068U894_COFCA;A0A068V3I9_COFCA	GSCOC_T00017810001;GSCOC_T00042781001	Peptidase A1 domain-containing protein	71087.5	450195	37594.8	430510	404693	
A0A068V3J7;A0A068UAS9	A0A068UAS9_COFCA;A0A068V3J7_COFCA	GSCOC_T00020836001;GSCOC_T00043076001	Fructose-bisphosphate aldolase	499461	1.39292e+06	329499	1.40872e+06	1.46547e+06	403253
A0A068V3N8	A0A068V3N8_COFCA	GSCOC_T00042899001	PsbP C-terminal domain-containing protein	44962.5	164429	50458.1	215764	188248	44429
A0A068V404	A0A068V404_COFCA	GSCOC_T00015384001	serine--tRNA ligase	339864		309271	158833	275274	257026
A0A068V462	A0A068V462_COFCA	GSCOC_T00043047001	Glutaredoxin-dependent peroxiredoxin		2.28348e+06		1.78529e+06	1.62715e+06	663641
A0A068V493	A0A068V493_COFCA	GSCOC_T00043102001	monodehydroascorbate reductase (NADH)	145539	644480	126857	796053	720690	140240
A0A068V4G4	A0A068V4G4_COFCA	GSCOC_T00042168001	Uncharacterized protein	88006.7		71179.4			40977.8
A0A068V553	A0A068V553_COFCA	GSCOC_T00015847001	Uncharacterized protein	902841	914757	714928	779254	790986	844389
A0A068V5B1;A0A068V5Q6;A0A068VMK4	A0A068V5B1_COFCA;A0A068V5Q6_COFCA;A0A068VMK4_COFCA	GSCOC_T00009492001;GSCOC_T00016741001;GSCOC_T00016746001	GDSL esterase/lipase 2-like	308478	388986	519034	321059	416476	442597
A0A068V5B2	A0A068V5B2_COFCA	GSCOC_T00042640001	Adenosylhomocysteinase		49321.5		96148.3	86364.4	
A0A068V5C0;A0A068V791	A0A068V5C0_COFCA;A0A068V791_COFCA	GSCOC_T00015771001;GSCOC_T00015775001	GRAM domain-containing protein	766681	644570	757157	560496	540433	881495
A0A068V618	A0A068V618_COFCA	GSCOC_T00043010001	peptidylprolyl isomerase		121847		123832	120587	
A0A068V628	A0A068V628_COFCA	GSCOC_T00017016001	Uncharacterized protein	40876.9	41628.7	39344	75710.8	41093.6	43054.2
A0A068V643	A0A068V643_COFCA	GSCOC_T00043048001	phosphopyruvate hydratase	628248	1.83037e+06	430002	2.30526e+06	1.97589e+06	493153
A0A068V643;Cont_Q9XSJ4	A0A068V643_COFCA;ENOA_BOVIN	ENO1;GSCOC_T00043048001	phosphopyruvate hydratase	1.63133e+06	3.54591e+06	1.0828e+06	1.4859e+06	959791	2.87335e+06
A0A068V6D9	A0A068V6D9_COFCA	GSCOC_T00043204001	Uncharacterized protein	32465.7	179301		141014	168710	
A0A068V6J5	A0A068V6J5_COFCA	GSCOC_T00018261001	pyridoxal 5'-phosphate synthase	14651.7	53095.3		47364.6	44836	115192
A0A068V715	A0A068V715_COFCA	GSCOC_T00018153001	NAC-A/B domain-containing protein		167844		173728	109554	221262
A0A068V7E0	A0A068V7E0_COFCA	GSCOC_T00016649001	N-acyl-aliphatic-L-amino acid amidohydrolase	283116	44896.7	239794	64399.6		289240
A0A068V7W1	A0A068V7W1_COFCA	GSCOC_T00019442001	Uncharacterized protein	140511		223370			194206
A0A068V807	A0A068V807_COFCA	GSCOC_T00017056001	NADP-dependent oxidoreductase domain-containing protein		15951.7		18596.3	14684.4	
A0A068V8A7	A0A068V8A7_COFCA	GSCOC_T00019168001	Large ribosomal subunit protein bL27c	576020	1.25492e+06	629142	1.12477e+06	1.07547e+06	551578
A0A068V8F3	A0A068V8F3_COFCA	GSCOC_T00004981001	CP12 domain-containing protein	363548	686563	377213	1.14375e+06	1.18753e+06	235396
A0A068V8X4	A0A068V8X4_COFCA	GSCOC_T00005020001	fumarate hydratase		237826		676389	654674	1473.72
A0A068V900	A0A068V900_COFCA	GSCOC_T00005049001	Large ribosomal subunit protein eL22	19287.1	25013.9	19037	105417	30776.7	
A0A068V905	A0A068V905_COFCA	GSCOC_T00000675001	PUA domain-containing protein	112332	108095	119707	117267	113338	121351
A0A068VA18;A0A068TYX8;A0A068USU6	A0A068TYX8_COFCA;A0A068USU6_COFCA;A0A068VA18_COFCA	GSCOC_T00004476001;GSCOC_T00024694001;GSCOC_T00025071001	Histone H3		1.12009e+07				
A0A068VA33	A0A068VA33_COFCA	GSCOC_T00004449001	Lysosomal Pro-X carboxypeptidase	125177	43122.9	118367	115454	100806	130518
A0A068VB15	A0A068VB15_COFCA	GSCOC_T00003882001	glutathione transferase			121746	498244	484861	117292
A0A068VB43	A0A068VB43_COFCA	GSCOC_T00019481001	GH18 domain-containing protein	2.03898e+06		2.22044e+06			2.12069e+06
A0A068VB43;A0A068V8L2	A0A068V8L2_COFCA;A0A068VB43_COFCA	GSCOC_T00019478001;GSCOC_T00019481001	GH18 domain-containing protein	1.01834e+06	1.6259e+06	1.23461e+06	3.56767e+06	3.38775e+06	1.35967e+06
A0A068VBC0	A0A068VBC0_COFCA	GSCOC_T00013178001	23 kDa subunit of oxygen evolving system of photosystem II	3.86968e+06	1.97373e+07	3.54529e+06	1.60897e+07	1.56237e+07	3.62925e+06
A0A068VBJ2	A0A068VBJ2_COFCA	GSCOC_T00011584001		869982	664101	751921	612873	515396	858795
A0A068VBP9	A0A068VBP9_COFCA	GSCOC_T00011789001	protein disulfide-isomerase	71640.3	254962	81775.4	290596	287584	66874.1
A0A068VBP9;A0A068URI5	A0A068URI5_COFCA;A0A068VBP9_COFCA	GSCOC_T00011789001;GSCOC_T00031889001	Protein disulfide-isomerase		210528		163643	185482	
A0A068VCC7	A0A068VCC7_COFCA	GSCOC_T00005517001		59361.4	18293.6	14602.4	40666.8	34370.5	48214.4
A0A068VCI9	A0A068VCI9_COFCA	GSCOC_T00004222001	Glyceraldehyde-3-phosphate dehydrogenase	1.06899e+06	4.07412e+06	871527	3.66682e+06	3.43854e+06	828056
A0A068VCS5	A0A068VCS5_COFCA	GSCOC_T00012962001	Superoxide dismutase [Cu-Zn]	158200	724372	121716	642285	640990	118546
A0A068VD83	A0A068VD83_COFCA	GSCOC_T00005559001	Clp R domain-containing protein		226437		458386	337850	
A0A068VD83;A0A068U3W2;A0A068V7K0	A0A068U3W2_COFCA;A0A068V7K0_COFCA;A0A068VD83_COFCA	GSCOC_T00005559001;GSCOC_T00018903001;GSCOC_T00039658001	Clp R domain-containing protein		439386		549665	570429	
A0A068VDB7	A0A068VDB7_COFCA	GSCOC_T00010080001		13017.9		6343.31		7859.66	68187.4
A0A068VDQ3	A0A068VDQ3_COFCA	GSCOC_T00001014001	Light-regulated protein		152379			285954	
A0A068VDY0;A0A068UF33;A0A068TSQ1;A0A068UBG8;A0A068UCA6;A0A068UF29;A0A068UUF9;A0A068UVX5;A0A068V1T7;A0A068V4Q5;A0A068VGG6;A0A068VJF1	A0A068TSQ1_COFCA;A0A068UBG8_COFCA;A0A068UCA6_COFCA;A0A068UF29_COFCA;A0A068UF33_COFCA;A0A068UUF9_COFCA;A0A068UVX5_COFCA;A0A068V1T7_COFCA;A0A068V4Q5_COFCA;A0A068VDY0_COFCA;A0A068VGG6_COFCA;A0A068VJF1_COFCA	GSCOC_T00000135001;GSCOC_T00007941001;GSCOC_T00013390001;GSCOC_T00015563001;GSCOC_T00020648001;GSCOC_T00021116001;GSCOC_T00022450001;GSCOC_T00023771001;GSCOC_T00023779001;GSCOC_T00033338001;GSCOC_T00036224001;GSCOC_T00038980001	Beta-glucosidase 44-like	156264	153299		264144	100615	121521
A0A068VE26	A0A068VE26_COFCA	GSCOC_T00010068001		152681	159169	248725			226947
A0A068VE54	A0A068VE54_COFCA	GSCOC_T00005865001	Peptidase A1 domain-containing protein	195531	1.08276e+06	164486	1.06269e+06	1.06618e+06	148800
A0A068VE54;A0A068USY3;A0A068VG06	A0A068USY3_COFCA;A0A068VE54_COFCA;A0A068VG06_COFCA	GSCOC_T00005865001;GSCOC_T00008233001;GSCOC_T00033572001	Peptidase A1 domain-containing protein	117189	1.11238e+06	163345	791218	279356	71010.3
A0A068VEA7	A0A068VEA7_COFCA	GSCOC_T00008321001		7383.83	20045.1	3981.79	30014.8	24458.9	
A0A068VEC9	A0A068VEC9_COFCA	GSCOC_T00002103001	tRNA-binding domain-containing protein	110120	91262.4	85714.5	75630.9	65566.8	123494
A0A068VEG7;A0A068TQK4	A0A068TQK4_COFCA;A0A068VEG7_COFCA	GSCOC_T00001032001;GSCOC_T00022350001	glycine--tRNA ligase					78437.4	35916.6
A0A068VEI6	A0A068VEI6_COFCA	GSCOC_T00003714001	Chlorophyll a-b binding protein, chloroplastic	70267.1					
A0A068VEI8	A0A068VEI8_COFCA	GSCOC_T00004285001	Glutathione peroxidase	197895	793442	202749	683326	561410	210159
A0A068VEI8;A0A068UHC8	A0A068UHC8_COFCA;A0A068VEI8_COFCA	GSCOC_T00004285001;GSCOC_T00025339001	Glutathione peroxidase	323871	503600	402301	410643	168889	295223
A0A068VEI9	A0A068VEI9_COFCA	GSCOC_T00012649001	Insulin-degrading enzyme-like 1, peroxisomal	182844		129244			145886
A0A068VEJ7	A0A068VEJ7_COFCA	GSCOC_T00001042001	Uncharacterized protein	1.85299e+06	958156	1.39563e+06	1.08771e+06		2.70365e+06
A0A068VEM0	A0A068VEM0_COFCA	GSCOC_T00004569001	Dirigent protein	983839	680464	886536	862914	728177	2.18384e+06
A0A068VEQ7	A0A068VEQ7_COFCA	GSCOC_T00002104001	Methionine aminopeptidase 2	61490.3	15857.1	52054.2	5730.92	10001.4	
A0A068VEQ7;A0A068VES4	A0A068VEQ7_COFCA;A0A068VES4_COFCA	GSCOC_T00002101001;GSCOC_T00002104001	Methionine aminopeptidase 2	618505	794929	460200	877603		606366
A0A068VFP2	A0A068VFP2_COFCA	GSCOC_T00002596001	ribulose-phosphate 3-epimerase	163432	86883.1	128159	774552		161751
A0A068VFP3	A0A068VFP3_COFCA	GSCOC_T00003540001	Large ribosomal subunit protein uL18c	120840	164088	118956	187686	172450	137646
A0A068VFW2;A0A068TPY5	A0A068TPY5_COFCA;A0A068VFW2_COFCA	GSCOC_T00012414001;GSCOC_T00021953001	RuBisCO large subunit-binding protein subunit beta, chloroplastic	9808.61	27058.2	11929	40941.4		
A0A068VG82;A0A068UM79;A0A068V7P3	A0A068UM79_COFCA;A0A068V7P3_COFCA;A0A068VG82_COFCA	GSCOC_T00007372001;GSCOC_T00018520001;GSCOC_T00028764001	40S ribosomal protein S7	64360	208688	68579.2	212812	168982	80608.1
A0A068VGE0	A0A068VGE0_COFCA	GSCOC_T00008717001			21001.2			22517.7	
A0A068VGM2	A0A068VGM2_COFCA	GSCOC_T00011142001			63413.5	3549.79			
A0A068VGV1;A0A068VI70	A0A068VGV1_COFCA;A0A068VI70_COFCA	GSCOC_T00009951001;GSCOC_T00012314001		379403					
A0A068VH47	A0A068VH47_COFCA	GSCOC_T00009570001						53478.2	
A0A068VH47;A0A068VL06	A0A068VH47_COFCA;A0A068VL06_COFCA	GSCOC_T00007031001;GSCOC_T00009570001		19771.9	77145.3	13787	150540	49738.3	50730.8
A0A068VH68	A0A068VH68_COFCA	GSCOC_T00001708001	Calreticulin	571620	254897	497863			668135
A0A068VH68;A0A068U6M9	A0A068U6M9_COFCA;A0A068VH68_COFCA	GSCOC_T00001708001;GSCOC_T00017485001	Calreticulin	1.18017e+06	2.54474e+06	915519	648444	521083	1.22164e+06
A0A068VHH8	A0A068VHH8_COFCA	GSCOC_T00013752001		80355.4			70473.7		41450.7
A0A068VHZ9	A0A068VHZ9_COFCA	GSCOC_T00008382001			788887		736430	719268	
A0A068VI32	A0A068VI32_COFCA	GSCOC_T00009176001			67633.8		58478	58607.9	
A0A068VIW0	A0A068VIW0_COFCA	GSCOC_T00009125001	DNA replication licensing factor MCM3						321137
A0A068VJA8	A0A068VJA8_COFCA	GSCOC_T00002210001			2.99732e+06		2.38318e+06	2.617e+06	
A0A068VJR2	A0A068VJR2_COFCA	GSCOC_T00013391001	UspA domain-containing protein	57846.4	28961.2	38508.5	31308.6	39260.9	43520.5
A0A068VJR7	A0A068VJR7_COFCA	GSCOC_T00009092001		3.4554e+06	2.8503e+06	3.21419e+06	3.33881e+06	2.87815e+06	3.87968e+06
A0A068VK15	A0A068VK15_COFCA	GSCOC_T00012344001	NAD-dependent epimerase/dehydratase domain-containing protein	96952.3	41770.4	67862.7	53428.1	32204	126765
A0A068VK80	A0A068VK80_COFCA	GSCOC_T00010323001		69990.5		109960			134165
A0A068VK80;A0A068VHW2	A0A068VHW2_COFCA;A0A068VK80_COFCA	GSCOC_T00003341001;GSCOC_T00010323001		177319	144493	182761	217099	118002	189092
A0A068VKG8	A0A068VKG8_COFCA	GSCOC_T00007002001			297510	43281.7	327670	290656	37774.5
A0A068VKY1	A0A068VKY1_COFCA	GSCOC_T00008147001		732396	1.85213e+06	716643	1.97092e+06	1.76689e+06	501990
A0A068VLE8	A0A068VLE8_COFCA	GSCOC_T00007291001		2.33413e+07	2.20952e+07	2.1148e+07	2.41922e+07	2.22785e+07	2.00035e+07
A0A068VLM1	A0A068VLM1_COFCA	GSCOC_T00001585001			116882		28093.8	31117.6	
A0A068VLM1;A0A068UAC6	A0A068UAC6_COFCA;A0A068VLM1_COFCA	GSCOC_T00001585001;GSCOC_T00018534001	Large ribosomal subunit protein uL6 alpha-beta domain-containing protein	283505	1.33532e+07		1.96963e+07	2.35936e+07	285903
A0A068VMX3	A0A068VMX3_COFCA	GSCOC_T00009368001			40459.2		28867.7	34323.2	22281.3
A0A068VPI5	A0A068VPI5_COFCA	GSCOC_T00011720001		105936	770463	97729.3	835866	642588	130619
A0A068VPI5;A0A068TV84	A0A068TV84_COFCA;A0A068VPI5_COFCA	GSCOC_T00011720001;GSCOC_T00029597001	HMA domain-containing protein	124603	535607	116367	486647	527482	95570
ADD000	iRTKit		iRT-Kit_WR_fusion	5.17758e+08	4.98781e+08	4.86449e+08	4.05361e+08	2.17124e+08	3.88567e+08
ADD001	bait_protein		bait protein sequence		743792		602799	680552	
ADD001;A0A068TYV6	A0A068TYV6_COFCA;bait_protein	GSCOC_T00036562001	Uncharacterized protein	4.00573e+08	3.58144e+10	9.79227e+07	2.96398e+10	2.88837e+10	4.28017e+06
ADD001;A0A068TYV6;A0A068V6D9	A0A068TYV6_COFCA;A0A068V6D9_COFCA;bait_protein	GSCOC_T00036562001;GSCOC_T00043204001	Uncharacterized protein	1.34415e+08	2.77021e+10	9.16881e+07	2.7024e+10	2.93405e+10	
Cont_A0A0H3K686;Cont_P02976	SPA_STAA8;SPA_STAAE	spa	Immunoglobulin G-binding protein A	453104		389107			
Cont_A2I7N1;Cont_A2I7N3;Cont_Q9TTE1	SPA31_BOVIN;SPA35_BOVIN;SPA37_BOVIN	SERPINA3-1;SERPINA3-5;SERPINA3-7	Serpin A3-5	180678	98919.3	63227.2	87477.7	24049.5	149360
Cont_O76011;Cont_Q14525	KRT34_HUMAN;KT33B_HUMAN	KRT33B;KRT34	Keratin, type I cuticular Ha4			345907			
Cont_O76011;Cont_Q14525;Cont_O76009	KRT34_HUMAN;KT33A_HUMAN;KT33B_HUMAN	KRT33A;KRT33B;KRT34	Keratin, type I cuticular Ha3-I			149492			
Cont_O76011;Cont_Q15323;Cont_Q14525;Cont_P02534;Cont_O76009	K1H1_HUMAN;K1M1_SHEEP;KRT34_HUMAN;KT33A_HUMAN;KT33B_HUMAN	KRT31;KRT33A;KRT33B;KRT34	Keratin, type I cuticular Ha3-I			255299			
Cont_O76011;Cont_Q15323;Cont_Q14525;Cont_Q14532;Cont_P02534;Cont_O76013;Cont_O76009	K1H1_HUMAN;K1H2_HUMAN;K1M1_SHEEP;KRT34_HUMAN;KRT36_HUMAN;KT33A_HUMAN;KT33B_HUMAN	KRT31;KRT32;KRT33A;KRT33B;KRT34;KRT36	Keratin, type I cuticular Ha3-I			241019			
Cont_O95678	K2C75_HUMAN	KRT75	Keratin, type II cytoskeletal 75			1.3461e+06			
Cont_O95678;Cont_P02538;Cont_P04259;Cont_Q8BGZ7;Cont_P48668;Cont_P50446	K2C6A_HUMAN;K2C6A_MOUSE;K2C6B_HUMAN;K2C6C_HUMAN;K2C75_HUMAN;K2C75_MOUSE	KRT6A;KRT6B;KRT6C;KRT75;Krt6a;Krt75	Keratin, type II cytoskeletal 75	1.77151e+07	424994	4.72039e+07	2.66667e+07	3.5371e+06	3.78778e+07
Cont_O95678;Cont_P02538;Cont_Q8BGZ7;Cont_P48668;Cont_P50446	K2C6A_HUMAN;K2C6A_MOUSE;K2C6C_HUMAN;K2C75_HUMAN;K2C75_MOUSE	KRT6A;KRT6C;KRT75;Krt6a;Krt75	Keratin, type II cytoskeletal 75	1.86792e+07	9.62729e+06	4.32349e+07	2.76162e+07	1.03515e+07	2.6309e+07
Cont_P00366	DHE3_BOVIN	GLUD1	Glutamate dehydrogenase 1, mitochondrial						666819
Cont_P00761	TRYP_PIG		Trypsin	9.43704e+09	1.50686e+10	1.2811e+10	1.68164e+10	1.58248e+10	8.81374e+09
Cont_P00883;A0A068V3J7;A0A068UAS9	A0A068UAS9_COFCA;A0A068V3J7_COFCA;ALDOA_RABIT	ALDOA;GSCOC_T00020836001;GSCOC_T00043076001	Fructose-bisphosphate aldolase	825449	1.76257e+06	790425	1.89936e+06	1.72833e+06	805428
Cont_P01012	OVAL_CHICK	SERPINB14	Ovalbumin	616081	475518	420165	546191	451759	376947
Cont_P01966	HBA_BOVIN	HBA	Hemoglobin subunit alpha	3.06222e+06	4.86868e+06	2.27562e+06	3.11812e+06	2.8344e+06	2.31985e+06
Cont_P02081	HBBF_BOVIN		Hemoglobin fetal subunit beta	397262	659638	699088	581477	535765	575072
Cont_P02453	CO1A1_BOVIN	COL1A1	Collagen alpha-1(I) chain	13090.3		57482.7		8112.09	8860.29
Cont_P02465	CO1A2_BOVIN	COL1A2	Collagen alpha-2(I) chain	119768	64499	146192	154978	132869	138738
Cont_P02533	K1C14_HUMAN	KRT14	Keratin, type I cytoskeletal 14	3.08747e+07	7.89926e+06	5.0633e+07	2.74627e+07	9.23243e+06	5.33909e+07
Cont_P02533;Cont_P08727	K1C14_HUMAN;K1C19_HUMAN	KRT14;KRT19	Keratin, type I cytoskeletal 14	5.25109e+06	822562	7.74673e+06	1.62115e+06	635819	1.31825e+07
